train_rmse,r2_train,train_mae,val_rmse,r2_val,val_mae,test_rmse:,test_mae:,r2_test:
421.34137,-1.8092367667290157,309.95154,175.10277,0.2591565190052947,134.23035,250.27652,188.33856,-0.4308190173341293
193.39395,0.41017983335058805,139.96346,127.80408,0.6688626771737134,93.453636,165.84616,113.44922,0.4827349068912694
159.15439,0.6078457399761088,102.551544,94.645584,0.7595981289784788,69.14786,158.02368,111.81071,0.565152197956983
142.95235,0.6864502665950669,88.38802,121.428314,0.6834513158811509,90.636375,150.73958,103.22705,0.6045864404625341
133.0643,0.7302390506112615,81.782974,115.72657,0.70508003342814,91.02759,148.3535,109.99979,0.5205225250801746
127.38539,0.7518312437426146,79.39586,101.758156,0.7926747564789925,76.01605,123.121086,88.29579,0.6941937430977487
114.06546,0.7920051138199882,64.82496,77.03037,0.8606706954648569,56.39254,145.72614,99.62004,0.6273086297941035
117.38956,0.7867652578022899,66.071754,96.855835,0.8150548693601183,75.39081,137.5129,99.19456,0.6702659707774575
120.39674,0.7777161247166391,68.30462,87.93014,0.8300513979840962,69.56556,133.60788,96.12253,0.6936234859945687
101.41638,0.8346807841351933,59.802692,92.70267,0.8064409955696124,65.61134,123.02307,85.78284,0.7433372846171175
109.19906,0.8136144730712223,59.174118,112.04295,0.7454253076886757,85.2504,127.86047,104.25246,0.7158494529479879
111.20524,0.8116253066202619,62.596966,84.5658,0.8497288429983325,61.868942,130.59001,81.40657,0.6501306742143951
107.59561,0.8206487356404647,54.33527,86.80029,0.845715146956567,63.330242,124.24447,81.88246,0.7029096334445906
99.36844,0.8469910934276293,47.33703,92.79873,0.83269666331041,66.72638,126.18254,82.751785,0.7352476096915479
92.94884,0.8675948419745304,42.064,80.70126,0.8657100984566258,53.949898,126.33287,84.445404,0.7194915935167796
92.06755,0.8659694630852101,40.22149,84.89585,0.8426959709848362,57.83661,107.7403,67.42738,0.802385772207812
89.98777,0.8775439308799318,39.881252,81.605484,0.8453714005840576,57.207153,125.30494,79.63163,0.7450071013723484
93.544975,0.8691116739498462,42.332104,86.56937,0.8507473594943631,58.683487,129.0027,81.311966,0.6967233068784542
87.46082,0.8774439571734982,41.152107,102.09961,0.8017045777220069,69.19377,118.964554,77.06387,0.7583944191460503
